orthologous_group_with_gene_loss	parental_pep	loss_chr	loss_strand	loss_start	loss_end	position_status	organism_with_gene_loss
2216	BRADI3G19540	NA	NA	NA	NA	unknown	zm
2216	LOC_Os08g17160	NA	NA	NA	NA	unknown	zm
2216	Sb07g011870	NA	NA	NA	NA	unknown	zm
2466	BRADI3G54930	4	-	171000259	171014631	gap	zm
2466	BRADI3G54930	5	+	214246839	214260367	gap	zm
2466	LOC_Os02g56500	4	-	171000259	171014631	gap	zm
2466	LOC_Os02g56500	5	+	214246839	214260367	gap	zm
2466	Sb04g036750	4	-	171000259	171014631	gap	zm
2466	Sb04g036750	5	+	214246839	214260367	gap	zm
2722	BRADI5G07700	10	+	106618468	108052069	gap	zm
2722	BRADI5G07700	2	+	73204562	73390086	gap	zm
2722	LOC_Os04g31240	10	+	106618468	108052069	gap	zm
2722	LOC_Os04g31240	2	+	73204562	73390086	gap	zm
2722	Sb06g012060	10	+	106618468	108052069	gap	zm
2722	Sb06g012060	2	+	73204562	73390086	gap	zm
2884	BRADI2G62020	3	-	140868618	141541285	gap	zm
2884	BRADI2G62020	8	-	155336292	155483754	gap	zm
2884	LOC_Os01g74000	3	-	140868618	141541285	gap	zm
2884	LOC_Os01g74000	8	-	155336292	155483754	gap	zm
2884	Sb03g047310	3	-	140868618	141541285	gap	zm
2884	Sb03g047310	8	-	155336292	155483754	gap	zm
3041	BRADI4G37490	2	+	194916070	194929028	gap	zm
3041	BRADI4G37490	7	-	140796411	140894307	gap	zm
3041	LOC_Os09g38300	2	+	194916070	194929028	gap	zm
3041	LOC_Os09g38300	7	-	140796411	140894307	gap	zm
3041	Sb02g032340	2	+	194916070	194929028	gap	zm
3041	Sb02g032340	7	-	140796411	140894307	gap	zm
3301	BRADI2G20160	6	+	158311982	158347046	gap	zm
3301	BRADI2G20160	8	+	120653353	121367826	gap	zm
3301	LOC_Os05g43550	6	+	158311982	158347046	gap	zm
3301	LOC_Os05g43550	8	+	120653353	121367826	gap	zm
3301	Sb09g025220	6	+	158311982	158347046	gap	zm
3301	Sb09g025220	8	+	120653353	121367826	gap	zm
3333	BRADI1G59470	7	+	1143739	1200156	gap	zm
3333	BRADI1G59480	7	+	1143739	1200156	gap	zm
3333	BRADI2G21170	NA	NA	NA	NA	NA	not_in_synteny	zm
3333	LOC_Os07g01520	7	+	1143739	1200156	gap	zm
3333	Sb02g000570	7	+	1143739	1200156	gap	zm
3333	Sb02g000580	7	+	1143739	1200156	gap	zm
3333	Sb02g000600	7	+	1143739	1200156	gap	zm
3668	BRADI1G47610	9	-	13881527	13905110	gap	zm
3668	BRADI1G47620	9	-	13881527	13905110	gap	zm
3668	LOC_Os06g08154	9	-	13881527	13905110	gap	zm
3668	Sb06g030610	NA	NA	NA	NA	NA	not_in_synteny	zm
3668	Sb07g022760	NA	NA	NA	NA	NA	not_in_synteny	zm
3668	Sb08g020030	NA	NA	NA	NA	NA	not_in_synteny	zm
4019	BRADI2G43870	3	-	216268035	216310924	gap	zm
4019	BRADI2G43870	8	+	143059008	143745294	gap	zm
4019	LOC_Os01g43360	3	-	216268035	216310924	gap	zm
4019	LOC_Os01g43360	8	+	143059008	143745294	gap	zm
4019	Sb06g030680	NA	NA	NA	NA	NA	not_in_synteny	zm
4053	BRADI3G00250	4	-	246601072	246692375	gap	zm
4053	BRADI3G00250	5	+	65336545	65418738	gap	zm
4053	LOC_Os02g01060	4	-	246601072	246692375	gap	zm
4053	LOC_Os02g01060	5	+	65336545	65418738	gap	zm
4053	Sb04g000250	4	-	246601072	246692375	gap	zm
4053	Sb04g000250	5	+	65336545	65418738	gap	zm
4264	BRADI3G39240	1	+	183297159	183621617	gap	zm
4264	BRADI3G39240	4	+	203618082	203677152	gap	zm
4264	LOC_Os08g38720	1	+	183297159	183621617	gap	zm
4264	LOC_Os08g38720	4	+	203618082	203677152	gap	zm
4264	Sb07g028610	1	+	183297159	183621617	gap	zm
4264	Sb07g028610	4	+	203618082	203677152	gap	zm
4322	BRADI1G23090	2	+	205299034	205485365	gap	zm
4322	LOC_Os07g39800	2	+	205299034	205485365	gap	zm
4322	Sb02g037860	2	+	205299034	205485365	gap	zm
4453	BRADI1G60700	9	-	116638981	117184706	gap	zm
4453	LOC_Os03g27320	9	-	116638981	117184706	gap	zm
4453	Sb01g033540	9	-	116638981	117184706	gap	zm
4556	BRADI2G04020	NA	NA	NA	NA	NA	not_in_synteny	zm
4556	LOC_Os01g74110	3	-	140868618	141541285	gap	zm
4556	LOC_Os01g74110	8	-	155336292	155483754	gap	zm
4556	LOC_Os08g42150	NA	NA	NA	NA	NA	not_in_synteny	zm
4556	LOC_Os08g42170	NA	NA	NA	NA	NA	not_in_synteny	zm
4556	Sb03g047340	3	-	140868618	141541285	gap	zm
4556	Sb03g047340	8	-	155336292	155483754	gap	zm
4561	BRADI1G03580	NA	NA	NA	NA	NA	not_in_synteny	zm
4561	LOC_Os03g59860	NA	NA	NA	NA	NA	not_in_synteny	zm
4561	LOC_Os03g60790	NA	NA	NA	NA	NA	not_in_synteny	zm
4561	Sb01g003060	NA	NA	NA	NA	NA	not_in_synteny	zm
4712	BRADI3G50330	4	+	149942455	150206583	hit	zm
4712	BRADI3G50330	5	+	190025964	190169473	gap	zm
4712	LOC_Os02g43500	4	+	149942455	150206583	hit	zm
4712	LOC_Os02g43500	5	+	190025964	190169473	gap	zm
4712	Sb04g033280	4	+	149942455	150206583	hit	zm
4712	Sb04g033280	5	+	190025964	190169473	gap	zm
4730	BRADI1G51377	NA	NA	NA	NA	NA	not_in_synteny	zm
4730	LOC_Os07g20510	NA	NA	NA	NA	NA	not_in_synteny	zm
4730	Sb10g028420	NA	NA	NA	NA	NA	not_in_synteny	zm
4737	BRADI1G28422	NA	NA	NA	NA	NA	not_in_synteny	zm
4737	LOC_Os07g27940	NA	NA	NA	NA	NA	not_in_synteny	zm
4737	Sb02g011135	NA	NA	NA	NA	NA	not_in_synteny	zm
4893	BRADI3G58750	4	+	179587737	179638313	gap	zm
4893	BRADI3G58750	5	+	207573086	207611242	gap	zm
4893	LOC_Os02g51820	4	+	179587737	179638313	gap	zm
4893	LOC_Os02g51820	5	+	207573086	207611242	gap	zm
4893	Sb04g027520	4	+	179587737	179638313	gap	zm
4893	Sb04g027520	5	+	207573086	207611242	gap	zm
4960	BRADI3G38700	1	+	182203460	182240227	gap	zm
4960	BRADI3G38700	4	-	202706503	202720218	gap	zm
4960	LOC_Os08g37820	1	+	182203460	182240227	gap	zm
4960	LOC_Os08g37820	4	-	202706503	202720218	gap	zm
4960	Sb07g029060	1	+	182203460	182240227	gap	zm
4960	Sb07g029060	4	-	202706503	202720218	gap	zm
5311	BRADI2G62090	3	-	140868618	141541285	gap	zm
5311	BRADI2G62090	8	-	155336292	155483754	gap	zm
5311	LOC_Os01g74010	3	-	140868618	141541285	gap	zm
5311	LOC_Os01g74010	8	-	155336292	155483754	gap	zm
5311	Sb03g047320	3	-	140868618	141541285	gap	zm
5311	Sb03g047320	8	-	155336292	155483754	gap	zm
5793	BRADI4G28810	2	+	173847869	173976157	gap	zm
5793	LOC_Os09g19880	2	+	173847869	173976157	gap	zm
5793	Sb02g022960	2	+	173847869	173976157	gap	zm
5894	BRADI5G12650	10	+	123055420	123359459	gap	zm
5894	BRADI5G12650	2	-	41058197	41479630	gap	zm
5894	LOC_Os04g39050	10	+	123055420	123359459	gap	zm
5894	LOC_Os04g39050	2	-	41058197	41479630	gap	zm
5894	Sb04g014231	NA	NA	NA	NA	NA	not_in_synteny	zm
5894	Sb07g020810	NA	NA	NA	NA	NA	not_in_synteny	zm
5894	Sb08g017380	NA	NA	NA	NA	NA	not_in_synteny	zm
5894	Sb1171s002010	NA	NA	NA	NA	NA	not_in_synteny	zm
5952	BRADI3G06396	NA	NA	NA	NA	NA	not_in_synteny	zm
5952	LOC_Os02g09440	4	-	240188104	240228709	gap	zm
5952	Sb04g005907	4	-	240188104	240228709	gap	zm
6064	BRADI3G52820	4	-	159047529	159167913	gap	zm
6064	BRADI3G52820	5	-	200266725	200372960	gap	zm
6064	LOC_Os01g13250	NA	NA	NA	NA	NA	not_in_synteny	zm
6064	LOC_Os12g20310	NA	NA	NA	NA	NA	not_in_synteny	zm
6064	Sb04g030500	4	-	159047529	159167913	gap	zm
6064	Sb04g030500	5	-	200266725	200372960	gap	zm
6080	BRADI1G72050	1	-	18625911	18905114	gap	zm
6080	BRADI1G72050	9	+	145361582	145366490	gone	zm
6080	LOC_Os03g08870	1	-	18625911	18905114	gap	zm
6080	LOC_Os03g08870	9	+	145361582	145366490	gone	zm
6080	Sb01g044700	1	-	18625911	18905114	gap	zm
6080	Sb01g044700	9	+	145361582	145366490	gone	zm
6157	BRADI4G04640	1	+	148570506	149183103	gap	zm
6157	BRADI4G04640	3	+	123684344	124138116	hit	zm
6157	LOC_Os12g37710	1	+	148570506	149183103	gap	zm
6157	LOC_Os12g37710	3	+	123684344	124138116	hit	zm
6157	Sb08g018390	1	+	148570506	149183103	gap	zm
6157	Sb08g018390	3	+	123684344	124138116	hit	zm
6332	BRADI3G34320	1	-	100683496	100935462	gap	zm
6332	BRADI3G34320	9	-	108553921	108567878	gap	zm
6332	LOC_Os10g42610	1	-	100683496	100935462	gap	zm
6332	LOC_Os10g42610	9	-	108553921	108567878	gap	zm
6332	Sb01g028080	1	-	100683496	100935462	gap	zm
6332	Sb01g028080	9	-	108553921	108567878	gap	zm
6464	BRADI1G31890	6	-	93964357	94018574	gap	zm
6464	BRADI1G31890	9	+	106594808	107866686	gap	zm
6464	LOC_Os06g45480	6	-	93964357	94018574	gap	zm
6464	LOC_Os06g45480	9	+	106594808	107866686	gap	zm
6464	Sb10g026590	6	-	93964357	94018574	gap	zm
6464	Sb10g026590	9	+	106594808	107866686	gap	zm
6651	BRADI2G61300	3	-	143582620	143588983	gap	zm
6651	BRADI2G61300	8	-	156103261	156151289	gap	zm
6651	LOC_Os01g72780	3	-	143582620	143588983	gap	zm
6651	LOC_Os01g72780	8	-	156103261	156151289	gap	zm
6651	Sb03g046370	3	-	143582620	143588983	gap	zm
6651	Sb03g046370	8	-	156103261	156151289	gap	zm
7177	BRADI1G47367	NA	NA	NA	NA	NA	not_in_synteny	zm
7177	LOC_Os06g08480	NA	NA	NA	NA	unknown	zm
7177	Sb10g005630	NA	NA	NA	NA	unknown	zm
7209	BRADI2G32530	NA	NA	NA	NA	NA	not_in_synteny	zm
7209	LOC_Os02g17700	4	-	227128881	227906522	gap	zm
7209	LOC_Os02g17700	5	-	131652863	132598246	gap	zm
7209	Sb04g010680	4	-	227128881	227906522	gap	zm
7209	Sb04g010680	5	-	131652863	132598246	gap	zm
7851	BRADI2G50670	8	-	171929746	172121820	gap	zm
7851	LOC_Os01g55730	8	-	171929746	172121820	gap	zm
7851	Sb03g035330	8	-	171929746	172121820	gap	zm
8069	BRADI1G63967	NA	NA	NA	NA	NA	not_in_synteny	zm
8069	LOC_Os03g20460	1	-	52311863	53099682	gap	zm
8069	LOC_Os03g20460	9	+	129177987	129743749	gap	zm
8069	Sb01g036920	1	-	52311863	53099682	gap	zm
8069	Sb01g036920	9	+	129177987	129743749	gap	zm
8325	BRADI4G27470	2	+	169979748	170306909	gap	zm
8325	BRADI4G27470	7	-	69384605	69875285	gap	zm
8325	LOC_Os09g12530	2	+	169979748	170306909	gap	zm
8325	LOC_Os09g12530	7	-	69384605	69875285	gap	zm
8325	Sb02g019400	2	+	169979748	170306909	gap	zm
8325	Sb02g019400	7	-	69384605	69875285	gap	zm
8663	BRADI2G06220	3	+	4625897	4671105	gap	zm
8663	BRADI2G06220	8	+	22622988	22874701	gap	zm
8663	LOC_Os05g11320	6	-	132145567	132243846	gap	zm
8663	LOC_Os05g11320	8	+	91505239	91938320	gap	zm
8663	Sb03g002620	3	+	4625897	4671105	gap	zm
8663	Sb03g002620	8	+	22622988	22874701	gap	zm
8744	BRADI2G48640	3	-	199542487	199667916	gap	zm
8744	BRADI2G48640	8	+	154509241	154597582	gap	zm
8744	LOC_Os01g52610	3	-	199542487	199667916	gap	zm
8744	LOC_Os01g52610	8	+	154509241	154597582	gap	zm
8744	Sb03g033320	3	-	199542487	199667916	gap	zm
8744	Sb03g033320	8	+	154509241	154597582	gap	zm
8768	BRADI2G27920	NA	NA	NA	NA	unknown	zm
8768	LOC_Os05g29810	NA	NA	NA	NA	NA	not_in_synteny	zm
8768	Sb09g017950	NA	NA	NA	NA	unknown	zm
8969	BRADI4G32210	NA	NA	NA	NA	NA	not_in_synteny	zm
8969	LOC_Os09g28480	NA	NA	NA	NA	NA	not_in_synteny	zm
8969	Sb02g026650	NA	NA	NA	NA	NA	not_in_synteny	zm
9063	BRADI3G14127	NA	NA	NA	NA	NA	not_in_synteny	zm
9063	LOC_Os05g41880	6	+	156584359	156648042	gap	zm
9063	Sb09g024520	6	+	156584359	156648042	gap	zm
9499	BRADI2G58967	NA	NA	NA	NA	NA	not_in_synteny	zm
9499	LOC_Os01g69120	3	-	159140632	159254924	hit	zm
9499	Sb03g044000	3	-	159140632	159254924	hit	zm
9612	BRADI2G20087	NA	NA	NA	NA	NA	not_in_synteny	zm
9612	LOC_Os05g43670	6	-	158391576	158405148	gap	zm
9612	LOC_Os05g43670	8	-	120653353	121367826	gap	zm
9612	Sb09g025310	6	-	158391576	158405148	gap	zm
9612	Sb09g025310	8	-	120653353	121367826	gap	zm
9696	BRADI4G31070	NA	NA	NA	NA	unknown	zm
9696	LOC_Os09g26580	NA	NA	NA	NA	unknown	zm
9696	Sb02g025580	NA	NA	NA	NA	unknown	zm
9875	BRADI5G17680	NA	NA	NA	NA	NA	not_in_synteny	zm
9875	LOC_Os04g46490	NA	NA	NA	NA	NA	not_in_synteny	zm
9875	Sb06g024580	NA	NA	NA	NA	NA	not_in_synteny	zm
9875	Sb07g020150	NA	NA	NA	NA	NA	not_in_synteny	zm
9955	BRADI1G50910	NA	NA	NA	NA	NA	not_in_synteny	zm
9955	LOC_Os08g44550	1	+	203595193	203712903	gap	zm
9955	LOC_Os08g44550	4	+	58610709	58819492	gap	zm
9955	Sb07g024050	1	+	203595193	203712903	gap	zm
9955	Sb07g024050	4	+	58610709	58819492	gap	zm
9967	BRADI5G13650	NA	NA	NA	NA	NA	not_in_synteny	zm
9967	LOC_Os02g19640	NA	NA	NA	NA	NA	not_in_synteny	zm
9967	Sb04g012650	NA	NA	NA	NA	NA	not_in_synteny	zm
10060	BRADI3G32350	1	+	84327065	84762635	gap	zm
10060	BRADI3G32350	9	-	121766835	121823373	gap	zm
10060	LOC_Os10g39710	1	+	84327065	84762635	gap	zm
10060	LOC_Os10g39710	9	-	121766835	121823373	gap	zm
10060	Sb01g030270	1	+	84327065	84762635	gap	zm
10060	Sb01g030270	9	-	121766835	121823373	gap	zm
10664	BRADI2G57427	NA	NA	NA	NA	NA	not_in_synteny	zm
10664	LOC_Os01g43490	3	-	215977668	216043428	gap	zm
10664	LOC_Os01g43490	8	+	143745294	143796613	gap	zm
10664	Sb03g028380	3	-	215977668	216043428	gap	zm
10664	Sb03g028380	8	+	143745294	143796613	gap	zm
10664	Sb03g042350	NA	NA	NA	NA	NA	not_in_synteny	zm
11950	BRADI2G61340	3	-	143194104	143576732	gap	zm
11950	BRADI2G61340	8	-	156103261	156151289	gap	zm
11950	LOC_Os01g72820	3	-	143194104	143576732	gap	zm
11950	LOC_Os01g72820	8	-	156103261	156151289	gap	zm
11950	Sb03g046420	3	-	143194104	143576732	gap	zm
11950	Sb03g046420	8	-	156103261	156151289	gap	zm
12025	BRADI3G27860	5	-	30580368	30857869	gap	zm
12025	LOC_Os10g31790	5	-	30580368	30857869	gap	zm
12025	Sb01g020290	5	-	30580368	30857869	gap	zm
12058	BRADI1G52450	6	+	54449907	55042603	gap	zm
12058	BRADI1G52450	9	+	28767288	28945098	gap	zm
12058	LOC_Os05g27880	NA	NA	NA	NA	NA	not_in_synteny	zm
12058	Sb10g000240	6	+	54449907	55042603	gap	zm
12058	Sb10g000240	9	+	28767288	28945098	gap	zm
12146	BRADI2G25250	6	-	147478015	147544907	gap	zm
12146	BRADI2G25250	8	-	102950188	103042203	gap	zm
12146	LOC_Os05g34470	6	-	147478015	147544907	gap	zm
12146	LOC_Os05g34470	8	-	102950188	103042203	gap	zm
12146	Sb09g020470	6	-	147478015	147544907	gap	zm
12146	Sb09g020470	8	-	102950188	103042203	gap	zm
12194	BRADI1G77867	NA	NA	NA	NA	NA	not_in_synteny	zm
12194	LOC_Os03g02020	NA	NA	NA	NA	NA	not_in_synteny	zm
12194	Sb01g049850	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	BRADI4G08410	2	+	161338380	161345082	gap	zm
12212	LOC_Os11g25860	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb02g025650	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb03g030000	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb03g030070	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb08g008660	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb09g029760	NA	NA	NA	NA	NA	not_in_synteny	zm
12212	Sb10g005275	NA	NA	NA	NA	NA	not_in_synteny	zm
12412	BRADI1G12900	1	+	257382681	257416510	gap	zm
12412	LOC_Os03g46350	1	+	257382681	257416510	gap	zm
12412	Sb01g012490	1	+	257382681	257416510	gap	zm
12650	BRADI2G04000	3	+	13982630	13986620	gap	zm
12650	BRADI2G04000	8	-	16024617	16028540	hit	zm
12650	LOC_Os01g07120	3	+	13982630	13986620	gap	zm
12650	LOC_Os01g07120	8	-	16024617	16028540	hit	zm
12650	Sb03g004980	3	+	13982630	13986620	gap	zm
12650	Sb03g004980	8	-	16024617	16028540	hit	zm
12651	BRADI3G39580	NA	NA	NA	NA	NA	not_in_synteny	zm
12651	BRADI3G60762	NA	NA	NA	NA	NA	not_in_synteny	zm
12651	LOC_Os07g25440	NA	NA	NA	NA	NA	not_in_synteny	zm
12651	Sb03g013640	NA	NA	NA	NA	NA	not_in_synteny	zm
12664	BRADI2G39180	6	+	31002659	31022770	gap	zm
12664	BRADI2G39180	8	+	132751566	132765407	gap	zm
12664	LOC_Os05g01990	6	+	31002659	31022770	gap	zm
12664	LOC_Os05g01990	8	+	132751566	132765407	gap	zm
12664	Sb09g020890	NA	NA	NA	NA	NA	not_in_synteny	zm
12665	BRADI2G18717	NA	NA	NA	NA	NA	not_in_synteny	zm
12665	LOC_Os05g45850	6	+	161183306	161239580	gap	zm
12665	Sb09g026680	6	+	161183306	161239580	gap	zm
12780	BRADI2G48920	3	-	199157342	199223250	gap	zm
12780	BRADI2G48920	8	+	154819137	154888868	gap	zm
12780	LOC_Os01g53060	3	-	199157342	199223250	gap	zm
12780	LOC_Os01g53060	8	+	154819137	154888868	gap	zm
12780	Sb03g033650	3	-	199157342	199223250	gap	zm
12780	Sb03g033650	8	+	154819137	154888868	gap	zm
12849	BRADI4G35440	NA	NA	NA	NA	NA	not_in_synteny	zm
12849	LOC_Os09g34300	NA	NA	NA	NA	NA	not_in_synteny	zm
12849	Sb02g030090	NA	NA	NA	NA	NA	not_in_synteny	zm
12865	BRADI4G37400	2	+	194869727	194883530	gap	zm
12865	BRADI4G37400	7	-	140796411	140894307	gap	zm
12865	LOC_Os09g38080	2	+	194869727	194883530	gap	zm
12865	LOC_Os09g38080	7	-	140796411	140894307	gap	zm
12865	Sb02g032290	2	+	194869727	194883530	gap	zm
12865	Sb02g032290	7	-	140796411	140894307	gap	zm
12929	BRADI2G61320	3	-	143582620	143588983	gap	zm
12929	BRADI2G61320	8	-	156103261	156151289	gap	zm
12929	LOC_Os01g72800	3	-	143582620	143588983	gap	zm
12929	LOC_Os01g72800	8	-	156103261	156151289	gap	zm
12929	Sb03g046390	3	-	143582620	143588983	gap	zm
12929	Sb03g046390	8	-	156103261	156151289	gap	zm
13383	BRADI4G07980	NA	NA	NA	NA	NA	not_in_synteny	zm
13383	LOC_Os12g24240	NA	NA	NA	NA	NA	not_in_synteny	zm
13383	Sb08g005270	NA	NA	NA	NA	NA	not_in_synteny	zm
13531	BRADI1G25230	NA	NA	NA	NA	NA	not_in_synteny	zm
13531	LOC_Os07g36460	NA	NA	NA	NA	NA	not_in_synteny	zm
13531	Sb02g035870	NA	NA	NA	NA	NA	not_in_synteny	zm
13537	BRADI2G48590	3	-	199744437	199840493	hit	zm
13537	BRADI2G48590	8	+	154335549	154509241	gap	zm
13537	LOC_Os01g52530	3	-	199744437	199840493	hit	zm
13537	LOC_Os01g52530	8	+	154335549	154509241	gap	zm
13537	Sb03g033270	3	-	199744437	199840493	hit	zm
13537	Sb03g033270	8	+	154335549	154509241	gap	zm
14068	BRADI4G42120	NA	NA	NA	NA	unknown	zm
14068	LOC_Os11g05640	NA	NA	NA	NA	unknown	zm
14068	Sb05g003420	NA	NA	NA	NA	unknown	zm
14068	Sb08g003500	NA	NA	NA	NA	unknown	zm
14149	BRADI3G01630	NA	NA	NA	NA	unknown	zm
14149	LOC_Os02g02550	NA	NA	NA	NA	unknown	zm
14149	Sb04g001310	NA	NA	NA	NA	unknown	zm
14494	BRADI2G51650	3	-	189579577	189929093	gap	zm
14494	BRADI2G51650	8	-	170965051	170973933	gap	zm
14494	LOC_Os01g56949	3	-	189579577	189929093	gap	zm
14494	LOC_Os01g56949	8	-	170965051	170973933	gap	zm
14494	LOC_Os01g56969	3	-	189579577	189929093	gap	zm
14494	LOC_Os01g56969	8	-	170965051	170973933	gap	zm
14494	Sb03g036260	3	-	189579577	189929093	gap	zm
14494	Sb03g036260	8	-	170965051	170973933	gap	zm
14582	BRADI1G49060	NA	NA	NA	NA	unknown	zm
14582	LOC_Os06g06180	NA	NA	NA	NA	unknown	zm
14582	Sb10g003850	NA	NA	NA	NA	unknown	zm
14677	BRADI1G76356	NA	NA	NA	NA	NA	not_in_synteny	zm
14677	LOC_Os01g46580	NA	NA	NA	NA	NA	not_in_synteny	zm
14677	Sb01g028390	NA	NA	NA	NA	NA	not_in_synteny	zm
14677	Sb02g004770	NA	NA	NA	NA	NA	not_in_synteny	zm
14742	BRADI2G22150	NA	NA	NA	NA	NA	not_in_synteny	zm
14742	LOC_Os05g40260	NA	NA	NA	NA	NA	not_in_synteny	zm
14742	Sb09g023610	NA	NA	NA	NA	NA	not_in_synteny	zm
14948	BRADI5G21520	NA	NA	NA	NA	NA	not_in_synteny	zm
14948	LOC_Os08g01620	NA	NA	NA	NA	NA	not_in_synteny	zm
14948	Sb07g000760	NA	NA	NA	NA	NA	not_in_synteny	zm
14994	BRADI5G24080	10	-	144831468	144886198	gap	zm
14994	BRADI5G24080	2	-	5571262	5685337	gap	zm
14994	LOC_Os04g55590	10	-	144831468	144886198	gap	zm
14994	LOC_Os04g55590	2	-	5571262	5685337	gap	zm
14994	Sb06g030700	10	-	144831468	144886198	gap	zm
14994	Sb06g030700	2	-	5571262	5685337	gap	zm
15061	BRADI1G50850	6	-	71678264	72979881	gap	zm
15061	BRADI1G50850	9	+	19145666	19442141	gap	zm
15061	LOC_Os06g05670	6	-	71678264	72979881	gap	zm
15061	LOC_Os06g05670	9	+	19145666	19442141	gap	zm
15061	Sb10g003470	6	-	71678264	72979881	gap	zm
15061	Sb10g003470	9	+	19145666	19442141	gap	zm
15270	BRADI3G08917	NA	NA	NA	NA	NA	not_in_synteny	zm
15270	LOC_Os02g13850	NA	NA	NA	NA	NA	not_in_synteny	zm
15270	Sb04g008350	NA	NA	NA	NA	NA	not_in_synteny	zm
15386	BRADI1G60110	NA	NA	NA	NA	NA	not_in_synteny	zm
15386	LOC_Os03g29850	NA	NA	NA	NA	NA	not_in_synteny	zm
15386	Sb01g032670	NA	NA	NA	NA	NA	not_in_synteny	zm
15418	BRADI2G11440	3	+	51967632	52106892	gap	zm
15418	LOC_Os01g19380	3	+	51967632	52106892	gap	zm
15418	Sb03g012320	3	+	51967632	52106892	gap	zm
15657	BRADI3G16580	10	-	79077810	79202045	gap	zm
15657	BRADI3G16580	4	+	32572311	32598859	gap	zm
15657	LOC_Os08g06050	10	-	79077810	79202045	gap	zm
15657	LOC_Os08g06050	4	+	32572311	32598859	gap	zm
15657	Sb07g003800	10	-	79077810	79202045	gap	zm
15657	Sb07g003800	4	+	32572311	32598859	gap	zm
16121	BRADI4G19960	NA	NA	NA	NA	NA	not_in_synteny	zm
16121	LOC_Os02g04725	NA	NA	NA	NA	NA	not_in_synteny	zm
16121	Sb09g005730	NA	NA	NA	NA	NA	not_in_synteny	zm
16121	Sb09g028160	NA	NA	NA	NA	NA	not_in_synteny	zm
16303	BRADI2G19700	6	-	159137497	159270403	gap	zm
16303	LOC_Os05g44130	6	-	159137497	159270403	gap	zm
