orthologous_group_with_gene_loss	parental_pep	loss_chr	loss_strand	loss_start	loss_end	position_status	organism_with_gene_loss
2527	Sb10g006700	1	-	44912834	44950135	gone	bdi
2735	GRMZM2G322593	3	+	7623587	7637746	gap	bdi
2735	LOC_Os02g22100	NA	NA	NA	NA	NA	not_in_synteny	bdi
2735	Sb04g009170	3	+	7623587	7637746	gap	bdi
2943	GRMZM2G172795	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	GRMZM5G822829	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	LOC_Os01g39430	NA	NA	NA	NA	unknown	bdi
2943	LOC_Os01g39560	NA	NA	NA	NA	unknown	bdi
2943	LOC_Os04g47040	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	Sb06g016380	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	Sb06g025020	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	Sb06g025040	NA	NA	NA	NA	NA	not_in_synteny	bdi
2943	Sb06g025060	NA	NA	NA	NA	NA	not_in_synteny	bdi
3242	GRMZM2G021149	1	-	55137219	55180710	gap	bdi
3242	GRMZM2G022041	1	-	55137219	55180710	gap	bdi
3242	LOC_Os07g07220	1	-	55137219	55180710	gap	bdi
3242	Sb02g003850	1	-	55137219	55180710	gap	bdi
3379	GRMZM2G031882	2	+	46480887	46497998	hit	bdi
3379	GRMZM2G133972	2	+	46480887	46497998	hit	bdi
3379	GRMZM2G409881	2	-	14483201	14517810	hit	bdi
3379	LOC_Os01g47710	2	+	46480887	46497998	hit	bdi
3379	LOC_Os05g48990	2	-	14483201	14517810	hit	bdi
3379	Sb09g028562	2	-	14483201	14517810	hit	bdi
3515	GRMZM2G110298	1	+	12154230	12164326	gone	bdi
3515	LOC_Os03g39860	1	+	12154230	12164326	gone	bdi
3515	Sb01g015260	1	+	12154230	12164326	gone	bdi
4011	GRMZM2G057955	2	+	44263620	44270301	gone	bdi
4011	LOC_Os01g43180	2	+	44263620	44270301	gone	bdi
4011	Sb03g028170	2	+	44263620	44270301	gone	bdi
5943	GRMZM2G301884	3	+	12770399	12774641	gone	bdi
5943	LOC_Os05g19280	NA	NA	NA	NA	NA	not_in_synteny	bdi
5943	Sb07g002570	3	+	12770399	12774641	gone	bdi
5989	GRMZM2G415390	1	-	72346297	72384715	gone	bdi
5989	LOC_Os03g05030	1	-	72346297	72384715	gone	bdi
5989	Sb01g047330	1	-	72346297	72384715	gone	bdi
6630	GRMZM2G345717	3	+	47728	81095	gone	bdi
6630	LOC_Os01g27490	NA	NA	NA	NA	NA	not_in_synteny	bdi
6630	LOC_Os06g42130	NA	NA	NA	NA	NA	not_in_synteny	bdi
6630	Sb04g000260	3	+	47728	81095	gone	bdi
6875	GRMZM2G173483	NA	NA	NA	NA	NA	not_in_synteny	bdi
6875	LOC_Os04g58480	NA	NA	NA	NA	NA	not_in_synteny	bdi
6875	Sb06g033220	NA	NA	NA	NA	NA	not_in_synteny	bdi
6954	GRMZM2G095025	NA	NA	NA	NA	unknown	bdi
6954	GRMZM2G417208	NA	NA	NA	NA	unknown	bdi
6954	LOC_Os05g51780	NA	NA	NA	NA	unknown	bdi
6954	Sb09g030900	NA	NA	NA	NA	unknown	bdi
7146	GRMZM2G361688	2	+	57741527	57906864	hit	bdi
7146	GRMZM2G366622	2	+	57741527	57906864	hit	bdi
7146	LOC_Os01g71330	2	+	57741527	57906864	hit	bdi
7146	Sb03g045440	2	+	57741527	57906864	hit	bdi
7284	GRMZM2G439268	NA	NA	NA	NA	NA	not_in_synteny	bdi
7284	LOC_Os08g03690	3	+	12774641	12791220	gone	bdi
7284	Sb07g002600	3	+	12774641	12791220	gone	bdi
7752	GRMZM2G118825	3	-	47572680	47582088	hit	bdi
7752	LOC_Os02g34540	3	-	47572680	47582088	hit	bdi
7752	Sb04g022340	3	-	47572680	47582088	hit	bdi
7849	AC197717.3_FG002	NA	NA	NA	NA	unknown	bdi
7849	LOC_Os03g11550	NA	NA	NA	NA	unknown	bdi
7849	Sb01g042880	NA	NA	NA	NA	unknown	bdi
8445	GRMZM2G428242	3	-	53074789	53077850	gone	bdi
8445	LOC_Os02g46450	3	-	53074789	53077850	gone	bdi
8445	Sb04g031330	3	-	53074789	53077850	gone	bdi
9148	GRMZM2G357631	1	-	20978221	20981070	gone	bdi
9148	GRMZM2G472610	2	-	23794975	23913772	gone	bdi
9148	LOC_Os01g28790	NA	NA	NA	NA	NA	not_in_synteny	bdi
9148	LOC_Os05g33580	2	-	23794975	23913772	gone	bdi
9148	Sb02g035140	1	-	20978221	20981070	gone	bdi
9148	Sb09g019940	2	-	23794975	23913772	gone	bdi
9226	GRMZM2G137736	5	+	589068	650002	hit	bdi
9226	LOC_Os04g08600	5	+	589068	650002	hit	bdi
9226	Sb06g001730	5	+	589068	650002	hit	bdi
9245	GRMZM5G896560	NA	NA	NA	NA	NA	not_in_synteny	bdi
9245	LOC_Os07g25810	NA	NA	NA	NA	unknown	bdi
9245	Sb02g010560	NA	NA	NA	NA	unknown	bdi
9567	GRMZM2G308034	NA	NA	NA	NA	unknown	bdi
9567	LOC_Os03g18480	NA	NA	NA	NA	unknown	bdi
9567	Sb01g038250	NA	NA	NA	NA	unknown	bdi
9716	GRMZM2G111501	2	+	50872097	50882351	hit	bdi
9716	LOC_Os01g70460	NA	NA	NA	NA	NA	not_in_synteny	bdi
9716	Sb03g035890	2	+	50872097	50882351	hit	bdi
10075	AC190688.3_FG006	NA	NA	NA	NA	unknown	bdi
10075	LOC_Os01g61020	NA	NA	NA	NA	unknown	bdi
10075	Sb03g038440	NA	NA	NA	NA	unknown	bdi
10323	GRMZM2G049318	1	+	65055824	65086814	gone	bdi
10323	LOC_Os03g17220	1	+	65055824	65086814	gone	bdi
10323	Sb01g039060	1	+	65055824	65086814	gone	bdi
10593	GRMZM2G158240	NA	NA	NA	NA	NA	not_in_synteny	bdi
10593	LOC_Os02g54190	3	+	59161475	59177931	gone	bdi
10593	Sb04g035200	3	+	59161475	59177931	gone	bdi
10593	Sb05g006610	NA	NA	NA	NA	NA	not_in_synteny	bdi
10730	GRMZM2G067946	1	-	56230203	57926068	gap	bdi
10730	LOC_Os02g25780	NA	NA	NA	NA	NA	not_in_synteny	bdi
10730	Sb02g001700	1	-	56230203	57926068	gap	bdi
10966	GRMZM2G077495	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	GRMZM2G311656	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	LOC_Os03g12440	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	LOC_Os09g02790	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	Sb01g033153	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	Sb01g033156	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	Sb01g033160	NA	NA	NA	NA	NA	not_in_synteny	bdi
10966	Sb01g033165	NA	NA	NA	NA	NA	not_in_synteny	bdi
11291	GRMZM2G167584	NA	NA	NA	NA	NA	not_in_synteny	bdi
11291	LOC_Os10g23060	NA	NA	NA	NA	NA	not_in_synteny	bdi
11291	Sb0012s004580	NA	NA	NA	NA	NA	not_in_synteny	bdi
11317	GRMZM2G165960	NA	NA	NA	NA	NA	not_in_synteny	bdi
11317	LOC_Os03g25850	NA	NA	NA	NA	NA	not_in_synteny	bdi
11317	Sb01g032040	NA	NA	NA	NA	NA	not_in_synteny	bdi
11429	GRMZM2G028622	5	+	26551431	26572675	hit	bdi
11429	GRMZM2G047448	5	+	26551431	26572675	hit	bdi
11429	LOC_Os04g56780	5	+	26551431	26572675	hit	bdi
11429	Sb06g031880	5	+	26551431	26572675	hit	bdi
11630	GRMZM2G310283	1	+	16683193	16687962	gone	bdi
11630	LOC_Os07g43380	1	+	16683193	16687962	gone	bdi
11630	Sb02g039990	1	+	16683193	16687962	gone	bdi
11821	GRMZM2G046618	NA	NA	NA	NA	unknown	bdi
11821	LOC_Os06g09340	NA	NA	NA	NA	unknown	bdi
11821	Sb10g006230	NA	NA	NA	NA	unknown	bdi
11962	AC206350.3_FG005	NA	NA	NA	NA	NA	not_in_synteny	bdi
11962	LOC_Os01g06250	2	+	73853	213178	gap	bdi
11962	Sb03g005530	2	+	73853	213178	gap	bdi
12027	GRMZM2G044150	2	-	28699746	29217130	gap	bdi
12027	LOC_Os05g27980	2	-	28699746	29217130	gap	bdi
12027	Sb09g016240	2	-	28699746	29217130	gap	bdi
12072	GRMZM2G117940	NA	NA	NA	NA	NA	not_in_synteny	bdi
12072	LOC_Os03g14550	NA	NA	NA	NA	NA	not_in_synteny	bdi
12072	LOC_Os10g02625	NA	NA	NA	NA	NA	not_in_synteny	bdi
12072	Sb01g026925	NA	NA	NA	NA	NA	not_in_synteny	bdi
12080	GRMZM2G022014	1	-	24132683	24170756	hit	bdi
12080	GRMZM2G700806	2	+	53091646	53119568	gap	bdi
12080	GRMZM5G844316	NA	NA	NA	NA	NA	not_in_synteny	bdi
12080	LOC_Os04g43824	5	+	19226732	19265247	gone	bdi
12080	LOC_Os07g26520	1	-	24132683	24170756	hit	bdi
12080	LOC_Os07g26550	1	-	24132683	24170756	hit	bdi
12080	Sb02g010620	1	-	24132683	24170756	hit	bdi
12080	Sb03g038970	2	+	53091646	53119568	gap	bdi
12080	Sb06g022760	5	+	19226732	19265247	gone	bdi
12514	GRMZM2G091233	NA	NA	NA	NA	NA	not_in_synteny	bdi
12514	LOC_Os07g41920	1	-	17435445	17463470	gone	bdi
12514	LOC_Os07g41930	1	-	17435445	17463470	gone	bdi
12514	LOC_Os07g41980	1	-	17435445	17463470	gone	bdi
12514	LOC_Os07g42030	1	-	17435445	17463470	gone	bdi
12514	LOC_Os07g42040	1	-	17435445	17463470	gone	bdi
12514	LOC_Os07g42070	1	-	17435445	17463470	gone	bdi
12514	Sb02g039050	NA	NA	NA	NA	NA	not_in_synteny	bdi
12987	GRMZM2G072573	1	+	60788504	60807991	gone	bdi
12987	GRMZM2G092888	1	+	60788504	60807991	gone	bdi
12987	LOC_Os03g25600	1	+	60788504	60807991	gone	bdi
12987	Sb01g034260	1	+	60788504	60807991	gone	bdi
13723	GRMZM2G138008	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	GRMZM2G168392	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	GRMZM2G470442	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	LOC_Os03g30420	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	LOC_Os03g40600	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	LOC_Os03g40610	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	LOC_Os07g41240	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	Sb01g032440	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	Sb02g038670	NA	NA	NA	NA	NA	not_in_synteny	bdi
13723	Sb02g042676	NA	NA	NA	NA	NA	not_in_synteny	bdi
13831	GRMZM2G427503	NA	NA	NA	NA	unknown	bdi
13831	LOC_Os06g30230	NA	NA	NA	NA	NA	not_in_synteny	bdi
13831	Sb10g005750	NA	NA	NA	NA	unknown	bdi
14334	GRMZM2G083022	NA	NA	NA	NA	NA	not_in_synteny	bdi
14334	LOC_Os06g49185	NA	NA	NA	NA	NA	not_in_synteny	bdi
14334	Sb10g029310	NA	NA	NA	NA	NA	not_in_synteny	bdi
14650	GRMZM5G818213	NA	NA	NA	NA	NA	not_in_synteny	bdi
14650	LOC_Os12g41970	NA	NA	NA	NA	NA	not_in_synteny	bdi
14650	LOC_Os12g41980	NA	NA	NA	NA	NA	not_in_synteny	bdi
14650	LOC_Os12g42010	NA	NA	NA	NA	NA	not_in_synteny	bdi
14650	Sb08g021485	NA	NA	NA	NA	NA	not_in_synteny	bdi
14700	GRMZM2G125259	3	+	53357311	53369315	gone	bdi
14700	LOC_Os02g47160	3	+	53357311	53369315	gone	bdi
14700	Sb04g030870	3	+	53357311	53369315	gone	bdi
14727	GRMZM2G045818	NA	NA	NA	NA	NA	not_in_synteny	bdi
14727	LOC_Os01g42640	NA	NA	NA	NA	unknown	bdi
14727	LOC_Os03g26860	NA	NA	NA	NA	NA	not_in_synteny	bdi
14727	Sb09g027680	2	-	15459391	15588197	gap	bdi
14790	GRMZM2G097896	NA	NA	NA	NA	NA	not_in_synteny	bdi
14790	LOC_Os11g34370	4	-	17477950	17594687	gap	bdi
14790	Sb05g020920	4	-	17477950	17594687	gap	bdi
15161	GRMZM2G423393	NA	NA	NA	NA	NA	not_in_synteny	bdi
15161	LOC_Os02g25820	NA	NA	NA	NA	NA	not_in_synteny	bdi
15161	LOC_Os02g25830	NA	NA	NA	NA	NA	not_in_synteny	bdi
15161	Sb07g006880	NA	NA	NA	NA	NA	not_in_synteny	bdi
15161	Sb07g007820	NA	NA	NA	NA	NA	not_in_synteny	bdi
15350	GRMZM2G152688	NA	NA	NA	NA	NA	not_in_synteny	bdi
15350	LOC_Os12g09089	NA	NA	NA	NA	unknown	bdi
15350	Sb08g002980	NA	NA	NA	NA	NA	not_in_synteny	bdi
15350	Sb08g005610	NA	NA	NA	NA	unknown	bdi
16201	GRMZM2G430522	NA	NA	NA	NA	unknown	bdi
16201	LOC_Os08g40030	NA	NA	NA	NA	unknown	bdi
16201	Sb07g027650	NA	NA	NA	NA	unknown	bdi
